date,hy_oas,usjp_10y_spread,usd_jpy_return,vix,E_p,E_T
1990-01-01,,,,,,
1990-02-01,,,,,,
1990-03-01,,,,,,
1990-04-01,,,,,,
1990-05-01,,,,,,
1990-06-01,,,,,,
1990-07-01,,,,,,
1990-08-01,,-2.0836425793400304,,2.0199082345509245,-2.0836425793400304,2.0199082345509245
1990-09-01,,-1.9900824971356053,-1.6827430355363526,1.7160238381902566,-1.8364127663359788,1.7160238381902566
1990-10-01,,-1.1807164816692384,-1.436595160767135,1.5102825822105825,-1.3086558212181867,1.5102825822105825
1990-11-01,,-0.6722118745037025,0.24255115844853475,0.4315754963560802,-0.21483035802758385,0.4315754963560802
1990-12-01,,0.07981552964338796,1.1731557682639417,0.0765577721170203,0.6264856489536649,0.0765577721170203
1991-01-01,,0.17191079187416383,0.1525093666193104,0.9744322553104754,0.1622100792467371,0.9744322553104754
1991-02-01,,-0.1262764081829109,-0.46832617492755413,-0.4113374589668945,-0.2973012915552325,-0.4113374589668945
1991-03-01,,-0.19284330714496836,1.5262077184294172,-1.2463479136933906,0.6666822056422244,-1.2463479136933906
1991-04-01,,-0.5125528206685802,0.04953139831372111,-1.2272478199983619,-0.23151071117742955,-1.2272478199983619
1991-05-01,,-0.4057375129276296,0.32635734005744893,-1.2294828256299426,-0.03969008643509034,-1.2294828256299426
1991-06-01,,-0.050944370784444463,0.398390357249515,-1.106802066722302,0.17372299323253526,-1.106802066722302
1991-07-01,,0.11110994952067464,-0.342158815467567,-1.011511742870545,-0.11552443297344617,-1.011511742870545
1991-08-01,,-0.2504410766171277,-0.13824429461262128,-1.2876938367259743,-0.1943426856148745,-1.2876938367259743
1991-09-01,,0.017501843746625976,-0.4798639765248199,-0.9533648332609,-0.23118106638909694,-0.9533648332609
1991-10-01,,0.2538988521397836,-0.7146691530004108,-1.0348287557212152,-0.2303851504303136,-1.0348287557212152
1991-11-01,,-0.25435275844869265,-0.12365735769089803,-0.6937630236579758,-0.18900505806979534,-0.6937630236579758
1991-12-01,,-0.6517016384052073,-0.23940187178733474,-0.5475036038879827,-0.44555175509627104,-0.5475036038879827
1992-01-01,,0.09437358057215818,-0.5003543019979685,-0.6803074960339459,-0.20299036071290516,-0.6803074960339459
1992-02-01,,0.7034104216141033,0.8008123921958961,-0.7070813480470515,0.7521114069049997,-0.7070813480470515
1992-03-01,,1.5087187955078039,1.4745958017489231,-0.6778192604840464,1.4916572986283634,-0.6778192604840464
1992-04-01,,0.6467832771575791,0.28354581286049224,-0.876915183842372,0.4651645450090357,-0.876915183842372
1992-05-01,,0.22607276681964866,-0.6092800999301415,-1.1803573440163022,-0.19160366655524644,-1.1803573440163022
1992-06-01,,0.11173247787231298,-0.9176893010172024,-1.1069282065777712,-0.4029784115724447,-1.1069282065777712
1992-07-01,,-0.5553157227290159,-0.10210579331324886,-1.411634975435915,-0.32871075802113237,-1.411634975435915
1992-08-01,,-0.40983748039897594,0.2643221304467342,-1.1750809325961384,-0.07275767497612087,-1.1750809325961384
1992-09-01,,-0.6923052340936111,-0.8783245498071408,-1.287007153766133,-0.785314891950376,-1.287007153766133
1992-10-01,,-0.011420879049238546,-0.2344490247193524,-0.38276067210445214,-0.12293495188429547,-0.38276067210445214
1992-11-01,,1.5622376045788873,0.9953994870608148,-1.0882914218413107,1.278818545819851,-1.0882914218413107
1992-12-01,,1.2064961696234782,0.21685235685148369,-1.5260181331770701,0.711674263237481,-1.5260181331770701
1993-01-01,,1.0099207717270924,0.44842724731708294,-1.415740641007471,0.7291740095220877,-1.415740641007471
1993-02-01,,0.887456651501064,-1.120209038038162,-1.0914383037692448,-0.11637619326854898,-1.0914383037692448
1993-03-01,,0.16509002805401282,-0.9807704469577212,-1.0853626612188905,-0.4078402094518542,-1.0853626612188905
1993-04-01,,-0.8770076339026338,-1.2657480129023524,-1.2148138136412006,-1.071377823402493,-1.2148138136412006
1993-05-01,,-1.8465663959820697,-0.44652971303061917,-1.0206580585724778,-1.1465480545063444,-1.0206580585724778
1993-06-01,,-1.6432623091230116,-0.7493507617051189,-1.2198655400622378,-1.1963065354140654,-1.2198655400622378
1993-07-01,,-1.0368263996592484,0.3737563667810241,-1.3925074724730457,-0.33153501643911215,-1.3925074724730457
1993-08-01,,-1.072479025353955,-1.1296667568168692,-1.2615299950123344,-1.101072891085412,-1.2615299950123344
1993-09-01,,-0.79516535587214,0.943541123027759,-1.0233000403672647,0.07418788357780953,-1.0233000403672647
1993-10-01,,-0.5744710577973006,0.7867209747614523,-1.2145898533744661,0.10612495848207587,-1.2145898533744661
1993-11-01,,1.404211681107321,0.5609900627181114,-0.7337256578548852,0.9826008719127162,-0.7337256578548852
1993-12-01,,2.643222636444121,0.9589101538029717,-1.2785773208228435,1.8010663951235464,-1.2785773208228435
1994-01-01,,1.8085230252164073,0.7554934520066454,-1.258000745575325,1.2820082386115264,-1.258000745575325
1994-02-01,,1.0638581762633985,-1.5755685581442294,-0.7509781342546302,-0.2558551909404154,-0.7509781342546302
1994-03-01,,1.3424238102889574,-0.19271871654916953,-0.4126028075423918,0.574852546869894,-0.4126028075423918
1994-04-01,,3.5185567491993437,-0.3475745624777921,-0.14548314545373575,1.5854910933607758,-0.14548314545373575
1994-05-01,,3.746240672411861,0.35744654988735924,-0.6890361774962293,2.0518436111496103,-0.6890361774962293
1994-06-01,,2.6138689682519543,-0.21403619799314574,-0.7826228091904358,1.1999163851294044,-0.7826228091904358
1994-07-01,,2.3339032503447656,-1.3261421186563271,-0.9655638651897861,0.5038805658442193,-0.9655638651897861
1994-08-01,,1.5995332217850713,0.867665666945988,-1.0734635709703646,1.2335994443655296,-1.0734635709703646
1994-09-01,,2.2456578220108567,-0.19571476924883902,-0.7713257482810847,1.0249715263810089,-0.7713257482810847
1994-10-01,,2.570329454152365,0.10241982049576209,-0.33086433132039594,1.3363746373240637,-0.33086433132039594
1994-11-01,,2.7072235629716532,0.14669278543173153,-0.08079713809428754,1.4269581742016924,-0.08079713809428754
1994-12-01,,2.558852728373951,1.1321027211643346,-0.5619557187745344,1.8454777247691427,-0.5619557187745344
1995-01-01,,2.2922783248994327,0.08466573634259802,-0.9689083759737994,1.1884720306210155,-0.9689083759737994
1995-02-01,,1.846296559396651,-0.3743649979799784,-1.1264564781966373,0.7359657807083363,-1.1264564781966373
1995-03-01,,1.9929094131506913,-2.873250810759406,-0.9571346771256951,-0.44017069880435733,-0.9571346771256951
1995-04-01,,2.529085099123447,-2.5719474070703936,-0.8833360186169056,-0.021431153973473283,-0.8833360186169056
1995-05-01,,2.0217844135133984,0.9298411777791743,-0.9095429671343156,1.4758127956462863,-0.9095429671343156
1995-06-01,,1.8044290914458234,0.09887178208971426,-0.9768648048410115,0.9516504367677688,-0.9768648048410115
1995-07-01,,2.023260197087428,1.4663285110400703,-0.8288872405210016,1.7447943540637492,-0.8288872405210016
