date,p_R,V_R,capital_headroom,lcr_headroom,nsfr_headroom,hy_oas,usjp_10y_spread,usd_jpy_return,vix,E_p,E_T
2006-10-01,3.88128640909091,1532285.0,1294395.5221858453,1234923.1527323069,1175450.7832787682,,0.06019800058492569,0.47328963738375623,-1.2717155913343314,0.26674381898434096,-1.2717155913343314
2006-11-01,3.80406290909091,1532132.0,1298998.939478749,1240715.6743484363,1182432.4092181234,,-0.054176831384858556,-0.36519420821967596,-1.3414476248634197,-0.20968551980226727,-1.3414476248634197
2006-12-01,3.9026030952381,1558277.0,1315023.5342624665,1254210.167828083,1193396.8013936996,,-0.03860914924028437,0.039139116155258905,-1.3089373934346522,0.0002649834574872667,-1.3089373934346522
2007-01-01,4.10280947826087,1542447.687,1289312.9274021937,1226029.237502742,1162745.5476032905,,0.10796889814516954,1.0081942252265792,-1.287930653695605,0.5580815616858744,-1.287930653695605
2007-02-01,4.1175186,1574889.6,1315504.1111621377,1250657.738952672,1185811.3667432065,,0.13826822886029566,0.051284364516627,-1.2617703117409977,0.09477629668846133,-1.2617703117409977
2007-03-01,4.02271686363636,1575228.257,1321760.3660595836,1258393.3933244795,1195026.4205893755,,-0.022411392238205208,-0.976111797548865,-0.6157554277081939,-0.4992615948935351,-0.6157554277081939
2007-04-01,4.24588171428571,1585414.261,1316155.0041860922,1248840.1899826152,1181525.3757791382,,0.09267315714879615,0.5627768702855721,-0.9700269926057387,0.3277250137171841,-0.9700269926057387
2007-05-01,4.37309595652174,1618637.965,1335499.599407437,1264715.0080092961,1193930.4166111553,,0.06238566353866463,0.6053645291833823,-0.9073400143339818,0.33387509636102347,-0.9073400143339818
2007-06-01,4.66075533333333,1649751.931,1342188.3265565918,1265297.4254457394,1188406.5243348875,,0.2669721669922679,0.6173251297875799,-0.6395218852183655,0.4421486483899239,-0.6395218852183655
2007-07-01,4.62842486363636,1670400.376,1361147.470699763,1283834.2443747036,1206521.0180496445,,0.2612654193894134,-0.35888286239489575,-0.2638419742276412,-0.04880872150274118,-0.2638419742276412
2007-08-01,4.4263127826087,1650811.96,1358531.5567907472,1285461.455988434,1212391.3551861208,,0.15309824625196344,-1.429096303289467,0.9844083061150306,-0.6379990285187518,0.9844083061150306
2007-09-01,4.3694047,1707388.4819999998,1408977.631680933,1334374.9191011668,1259772.2065214,,-0.15039078834828018,-0.5044233057142058,0.5259275724988621,-0.327407047031243,0.5259275724988621
2007-10-01,4.40021491304348,1784687.022,1470566.7640272179,1392036.6995340222,1313506.6350408266,,-0.05236361639274378,0.3063731213201985,0.02672178403355101,0.12700475246372736,0.02672178403355101
2007-11-01,4.25154036363636,1806021.292,1498886.3951790126,1422102.6709737657,1345318.9467685185,,-0.3411778491551481,-1.5313720202890264,1.07066454201508,-0.9362749347220872,1.07066454201508
2007-12-01,4.38176185714286,2046409.034,1687733.9520282494,1598065.1815353115,1508396.411042374,,-0.42924155059960883,0.5048866865899048,0.4317722737037456,0.037822567995147965,0.4317722737037456
2008-01-01,4.23174530434783,1939962.928,1611585.7675530855,1529491.4774413568,1447397.187329628,,-0.7131148479021604,-1.5173809789803339,1.1029983877421434,-1.1152479134412472,1.1029983877421434
2008-02-01,4.13937095238095,1965775.333,1640292.4005069125,1558921.6673836408,1477550.9342603688,,-0.7181976715705737,-0.2219489344884863,1.0394962278087188,-0.47007330302953,1.0394962278087188
2008-03-01,4.07051223809524,2017893.851,1689339.3863730945,1607200.7702163684,1525062.154059642,,-0.7641472406486127,-2.1764334332065998,1.2990037145245237,-1.4702903369276061,1.2990037145245237
2008-04-01,4.2827465,2008471.26,1664400.3296353763,1578382.5970442204,1492364.8644530645,,-0.9728515047525738,0.7591230236833505,0.3995680788568586,-0.10686424053461163,0.3995680788568586
2008-05-01,4.42327081818182,2007179.845,1652047.8435907518,1563264.8432384396,1474481.8428861275,,-0.9385548717412067,0.6588652170426723,-0.12962143016772018,-0.13984482734926718,-0.12962143016772018
2008-06-01,4.80925171428571,2098603.719,1694895.1776717152,1593968.0423396442,1493040.9070075732,,-0.49240428244529344,0.9499137320695367,0.4888595921337823,0.2287547248121216,0.4888595921337823
2008-07-01,4.8145092173913,2098262.571,1694178.3914565335,1593157.3465706666,1492136.3016848,,-0.5221397005892823,0.029086235013925214,0.8462374015896482,-0.24652673278767853,0.8462374015896482
2008-08-01,4.49604304761905,2144395.342,1758743.591250169,1662330.6535627116,1565917.7158752535,,-0.5386032874710113,0.9120269544888928,0.25386868337042406,0.18671183350894077,0.25386868337042406
2008-09-01,4.50429840909091,2478389.855,2031853.555760658,1920219.4809508224,1808585.406140987,,-0.8168247672191175,-0.910803636300133,1.7973422939387254,-0.8638142017596252,1.7973422939387254
