date,M_in,M_out
2010-03-31,385.77563340098067,38.57756334009808
2010-06-30,387.70451156798555,38.770451156798565
2010-09-30,389.6430341258254,38.96430341258255
2010-12-31,391.5912492964545,39.15912492964546
2011-03-31,393.54920554293676,39.35492055429368
2011-06-30,395.51695157065143,39.55169515706514
2011-09-30,397.49453632850464,39.74945363285046
2011-12-31,399.4820090101471,39.94820090101471
2012-03-31,401.4794190551978,40.14794190551978
2012-06-30,403.48681615047377,40.348681615047376
2012-09-30,405.5042502312261,40.55042502312261
2012-12-31,407.53177148238217,40.753177148238215
2013-03-31,409.56943033979405,40.9569430339794
2013-06-30,411.617277491493,41.16172774914929
2013-09-30,413.6753638789504,41.367536387895036
2013-12-31,415.7437406983451,41.574374069834505
2014-03-31,417.8224594018368,41.78224594018367
2014-06-30,419.91157169884593,41.99115716988459
2014-09-30,422.0111295573401,42.201112955734004
2014-12-31,424.1211852051268,42.41211852051267
2015-03-31,426.24179113115235,42.62417911311523
2015-06-30,428.3730000868081,42.837300008680806
2015-09-30,430.5148650872421,43.0514865087242
2015-12-31,432.6674394126782,43.26674394126782
2016-03-31,434.8307766097416,43.48307766097415
2016-06-30,437.00493049279027,43.70049304927902
2016-09-30,439.18995514525415,43.918995514525406
2016-12-31,441.38590492098035,44.138590492098025
2017-03-31,443.5928344455852,44.359283444558514
2017-06-30,445.8107986178131,44.581079861781305
2017-09-30,448.0398526109021,44.803985261090205
2017-12-31,450.28005187395655,45.02800518739565
2018-03-31,452.5314521333263,45.25314521333262
2018-06-30,454.79410939399287,45.47941093939928
2018-09-30,457.0680799409628,45.70680799409627
2018-12-31,459.3534203406675,45.93534203406675
2019-03-31,461.6501874423708,46.16501874423708
2019-06-30,463.9584383795826,46.39584383795826
2019-09-30,466.2782305714805,46.62782305714805
2019-12-31,468.60962172433784,46.86096217243379
2020-03-31,470.9526698329595,47.09526698329595
2020-06-30,473.3074331821242,47.33074331821243
2020-09-30,475.6739703480348,47.567397034803484
2020-12-31,478.0523401997749,47.8052340199775
2021-03-31,480.44260190077375,48.04426019007738
2021-06-30,482.8448149102776,48.28448149102776
2021-09-30,485.2590389848289,48.525903898482895
2021-12-31,487.685334179753,48.768533417975306
2022-03-31,490.1237608506517,49.01237608506518
2022-06-30,492.57437965490493,49.257437965490496
2022-09-30,495.03725155317943,49.503725155317944
2022-12-31,497.5124378109453,49.75124378109453
2023-01-01,500.0,50.0
2023-04-01,520.0,60.0
2023-07-01,540.0,55.0
2023-10-01,560.0,70.0
2024-01-01,590.0,65.0
