date,L_real,L_asset,U,Y,spread,depth,turnover
1990-03-31,7192.124,2876.8496,5963144000000.0,5963144000000.0,8.423870967741935,297.97094071101964,10.0
1990-06-30,7303.613,2921.4452,,,8.674126984126984,302.58994925549564,1.0
1990-09-30,7384.432,2953.7728,,,8.701269841269841,305.93829439767114,1.0
1990-12-31,7458.077,2983.2308000000003,,,8.405967741935482,308.989419479589,1.0
1991-03-31,7468.526,2987.4104,6158129000000.0,6158129000000.0,8.022833333333333,309.42232335603626,10.0
1991-06-30,7538.276,3015.3104000000003,,,8.12546875,312.31207791457746,1.0
1991-09-30,7540.773,3016.3092,,,7.95,312.4155290562646,1.0
1991-12-31,7581.419,3032.5676000000003,,,7.345,314.09949986323903,1.0
1992-03-31,7615.218,3046.0872,6520327000000.0,6520327000000.0,7.3069354838709675,315.49979827648826,10.0
1992-06-30,7656.355,3062.542,,,7.376031746031746,317.20411129834787,1.0
1992-09-30,7711.512,3084.6048,,,6.61875,319.4892753440175,1.0
1992-12-31,7773.848,3109.5392,,,6.740322580645161,322.07186660080924,1.0
1993-03-31,7812.554,3125.0216,6858559000000.0,6858559000000.0,6.258196721311475,323.675462872392,10.0
1993-06-30,7919.946,3167.9784,,,5.988095238095238,328.1247319985692,1.0
1993-09-30,8028.094,3211.2376000000004,,,5.6153125,332.60532233544535,1.0
1993-12-31,8151.103,3260.4412,,,5.615967741935484,337.70160647152557,1.0
1994-03-31,8260.279,3304.1116,7287236000000.0,7287236000000.0,6.090322580645162,342.2247870261248,10.0
1994-06-30,8399.652,3359.8608000000004,,,7.089516129032258,347.9990345112512,1.0
1994-09-30,8528.83,3411.532,,,7.32796875,353.35090138384237,1.0
1994-12-31,8699.19,3479.6760000000004,,,7.837213114754098,360.4089456360729,1.0
1995-03-31,8807.641,3523.0564,7639749000000.0,7639749000000.0,7.4712903225806455,364.90208931533243,10.0
1995-06-30,8978.958,3591.5832000000005,,,6.60015873015873,371.99978224301134,1.0
1995-09-30,9125.043,3650.0172000000002,,,6.329206349206349,378.0521090485238,1.0
1995-12-31,9279.97,3711.988,,,5.898548387096774,384.4707614426616,1.0
1996-03-31,9410.866,3764.3464000000004,8073122000000.0,8073122000000.0,5.910483870967742,389.8938053522646,10.0
1996-06-30,9590.932,3836.3728000000006,,,6.7140625,397.3539708624909,1.0
1996-09-30,9739.846,3895.9384,,,6.7759375,403.52350362708734,1.0
1996-12-31,9877.376,3950.9504,,,6.354193548387096,409.22139530359163,1.0
1997-03-31,10009.716,4003.8864000000003,8577552000000.0,8577552000000.0,6.566999999999999,414.7042643828367,10.0
1997-06-30,10206.773,4082.7092,,,6.6996875000000005,422.8683699605063,1.0
1997-09-30,10437.733,4175.0932,,,6.2421875,432.43708268940486,1.0
1997-12-31,10642.672,4257.0688,,,5.906290322580645,440.92774088973283,1.0
1998-03-31,10867.157,4346.8628,9062817000000.0,9062817000000.0,5.590983606557377,450.22819324921846,10.0
1998-06-30,11192.516,4477.0064,,,5.593015873015873,463.70787286803437,1.0
1998-09-30,11437.292,4574.9168,,,5.20734375,473.848984865475,1.0
1998-12-31,11726.858,4690.7432,,,4.661935483870968,485.84575430631435,1.0
1999-03-31,11996.079,4798.4316,9631172000000.0,9631172000000.0,5.000819672131148,496.99962687986306,10.0
1999-06-30,12265.22,4906.088,,,5.54125,508.1501850395812,1.0
1999-09-30,12616.408,5046.5632000000005,,,5.88296875,522.6999645937742,1.0
1999-12-31,12900.875,5160.35,,,6.14483870967742,534.4854815830867,1.0
2000-03-31,13184.822,5273.928800000001,10250952000000.0,10250952000000.0,6.468412698412698,546.2494548825003,10.0
2000-06-30,13514.042,5405.6168,,,6.184920634920634,559.8890963988148,1.0
2000-09-30,13782.955,5513.182000000001,,,5.88984126984127,571.0302084791158,1.0
2000-12-31,14015.065,5606.026000000001,,,5.570645161290322,580.646565906829,1.0
2001-03-31,14130.7,5652.280000000001,10581929000000.0,10581929000000.0,5.0441935483870965,585.4373439480751,10.0
2001-06-30,14471.316,5788.526400000001,,,5.276190476190476,599.5491237145563,1.0
2001-09-30,14780.642,5912.2568,,,4.995737704918033,612.3645533715502,1.0
2001-12-31,14963.76,5985.504000000001,,,4.762096774193548,619.9511637694133,1.0
2002-03-31,15137.544,6055.0176,10929108000000.0,10929108000000.0,5.079166666666667,627.1510649335928,10.0
2002-06-30,15366.315,6146.526000000001,,,5.10609375,636.6290870140521,1.0
2002-09-30,15614.423,6245.769200000001,,,4.27234375,646.9082443475365,1.0
2002-12-31,15914.764,6365.9056,,,4.004838709677419,659.3514239011828,1.0
2003-03-31,16107.287,6442.9148000000005,11456450000000.0,11456450000000.0,3.92,667.327685075004,10.0
2003-06-30,16531.904,6612.7616,,,3.6206349206349207,684.9196407937723,1.0
2003-09-30,16827.159,6730.863600000001,,,4.22765625,697.1521064881391,1.0
2003-12-31,17106.15,6842.460000000001,,,4.285161290322581,708.710751850748,1.0
2004-03-31,17427.098,6970.839200000001,12217196000000.0,12217196000000.0,4.01,722.00768297698,10.0
2004-06-30,17834.911,7133.964400000001,,,4.597096774193548,738.903446070634,1.0
2004-09-30,18213.249,7285.2996,,,4.30140625,754.5780548185818,1.0
2004-12-31,18722.489,7488.995600000001,,,4.175806451612903,775.67595605717,1.0
2005-03-31,19053.396,7621.358400000001,13039197000000.0,13039197000000.0,4.303606557377049,789.3854902751369,10.0
